id,category,text,emotion,style,pace,volume,prosody,tone,formality,medium,pitch,intensity,energy_scale,scenario
VT-60891,addresses_generic,"Reminder: The ZIP code is 60614, not 60641. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-12108,addresses_generic,"Ship it to 123 Example Street, Suite 400, Springfield. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-63981,addresses_generic,"FYI, Use the service elevator—freight only.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-59754,addresses_generic,"Reminder: Unit B, second floor, back entrance. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-68537,addresses_generic,"The ZIP code is 60614, not 60641.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-31347,addresses_generic,Heads up: Corner house with the red door.—copy.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-67690,addresses_generic,"FYI, Corner house with the red door. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-29970,addresses_generic,"Hey, Corner house with the red door. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-70533,addresses_generic,"Listen, Use the service elevator—freight only.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-62759,addresses_generic,"Reminder: Ship it to 123 Example Street, Suite 400, Springfield. For real.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-61034,addresses_generic,"Note: Ship it to 123 Example Street, Suite 400, Springfield. Please.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-62000,addresses_generic,"Listen, Corner house with the red door. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-10056,addresses_generic,"Listen, The ZIP code is 60614, not 60641. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-84086,addresses_generic,"Hey, Send the parcel to Building 9, Bay 12. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-86993,addresses_generic,"Note: Send the parcel to Building 9, Bay 12. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-69594,addresses_generic,"Reminder: Send the parcel to Building 9, Bay 12. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-19862,addresses_generic,"Okay, Use the service elevator—freight only. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-28307,addresses_generic,Reminder: Deliver to the northeast loading dock. If possible.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-76407,addresses_generic,"Hey, Deliver to the northeast loading dock. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-30378,addresses_generic,"FYI, Ship it to 123 Example Street, Suite 400, Springfield. Please.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-70237,addresses_generic,"Listen, Corner house with the red door. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-95351,addresses_generic,Note: Deliver to the northeast loading dock.—got it.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-44954,addresses_generic,"Okay, Cross streets are Maple and 8th. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-12108,addresses_generic,"Ship it to 123 Example Street, Suite 400, Springfield. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-30378,addresses_generic,"FYI, Ship it to 123 Example Street, Suite 400, Springfield. Please.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-25402,addresses_generic,"Listen, Deliver to the northeast loading dock. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-62759,addresses_generic,"Reminder: Ship it to 123 Example Street, Suite 400, Springfield. For real.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-79735,addresses_generic,"Unit B, second floor, back entrance. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-69363,addresses_generic,"Hey, Mail it care of John Doe, PO Box 1029.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-85203,addresses_generic,Corner house with the red door. For real.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-27500,addresses_generic,"FYI, The ZIP code is 60614, not 60641.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-84086,addresses_generic,"Hey, Send the parcel to Building 9, Bay 12. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-95257,addresses_generic,"Okay, Use the service elevator—freight only.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-20570,addresses_generic,Reminder: Cross streets are Maple and 8th.—copy.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-14291,addresses_generic,"Send the parcel to Building 9, Bay 12.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-37580,addresses_generic,Reminder: Use the service elevator—freight only.—got it.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-59754,addresses_generic,"Reminder: Unit B, second floor, back entrance. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-70533,addresses_generic,"Listen, Use the service elevator—freight only.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-81701,addresses_generic,"Hey, Cross streets are Maple and 8th. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-47286,addresses_generic,"Okay, The ZIP code is 60614, not 60641. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-50539,addresses_generic,"Note: Ship it to 123 Example Street, Suite 400, Springfield.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-63892,addresses_generic,"Note: The ZIP code is 60614, not 60641. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-84907,addresses_generic,Corner house with the red door.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-76407,addresses_generic,"Hey, Deliver to the northeast loading dock. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-41331,addresses_generic,"Listen, Deliver to the northeast loading dock. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-74996,addresses_generic,"Listen, Ship it to 123 Example Street, Suite 400, Springfield.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-78412,addresses_generic,"Hey, Cross streets are Maple and 8th. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-40610,addresses_generic,Use the service elevator—freight only. If possible.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-69234,addresses_generic,"Hey, Cross streets are Maple and 8th. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-27500,addresses_generic,"FYI, The ZIP code is 60614, not 60641.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-68537,addresses_generic,"The ZIP code is 60614, not 60641.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-20978,addresses_generic,Cross streets are Maple and 8th. Please.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-52817,addresses_generic,"Hey, Cross streets are Maple and 8th.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-51025,addresses_generic,"Apartment 3C, buzzer code 5147. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-88438,addresses_generic,Cross streets are Maple and 8th.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-52817,addresses_generic,"Hey, Cross streets are Maple and 8th.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-20995,addresses_generic,"Heads up: Apartment 3C, buzzer code 5147. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-94775,addresses_generic,"FYI, Cross streets are Maple and 8th.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-85858,addresses_generic,"Note: The ZIP code is 60614, not 60641.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-20570,addresses_generic,Reminder: Cross streets are Maple and 8th.—copy.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-98024,addresses_generic,"Hey, Deliver to the northeast loading dock.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-22740,addresses_generic,"Okay, Corner house with the red door. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-28307,addresses_generic,Reminder: Deliver to the northeast loading dock. If possible.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-48752,addresses_generic,Use the service elevator—freight only. Thanks.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-40147,addresses_generic,"Okay, The ZIP code is 60614, not 60641. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-50539,addresses_generic,"Note: Ship it to 123 Example Street, Suite 400, Springfield.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-59754,addresses_generic,"Reminder: Unit B, second floor, back entrance. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-41937,addresses_generic,"FYI, Cross streets are Maple and 8th.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-76393,addresses_generic,"Listen, Cross streets are Maple and 8th.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-17323,addresses_generic,"Listen, Cross streets are Maple and 8th. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-73485,addresses_generic,"Heads up: Ship it to 123 Example Street, Suite 400, Springfield.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-23311,addresses_generic,"Reminder: Mail it care of John Doe, PO Box 1029.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-28307,addresses_generic,Reminder: Deliver to the northeast loading dock. If possible.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-98390,addresses_generic,Heads up: Deliver to the northeast loading dock. For real.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-92005,addresses_generic,Heads up: Deliver to the northeast loading dock. Please.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-84086,addresses_generic,"Hey, Send the parcel to Building 9, Bay 12. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-49555,addresses_generic,"Reminder: Ship it to 123 Example Street, Suite 400, Springfield.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-14291,addresses_generic,"Send the parcel to Building 9, Bay 12.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-31347,addresses_generic,Heads up: Corner house with the red door.—copy.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-46453,addresses_generic,"Okay, Send the parcel to Building 9, Bay 12. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-56808,addresses_generic,"Listen, Apartment 3C, buzzer code 5147. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-50942,addresses_generic,"Okay, Unit B, second floor, back entrance. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-22823,addresses_generic,"Heads up: Send the parcel to Building 9, Bay 12. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-74996,addresses_generic,"Listen, Ship it to 123 Example Street, Suite 400, Springfield.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-56808,addresses_generic,"Listen, Apartment 3C, buzzer code 5147. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-94662,addresses_generic,"Hey, Unit B, second floor, back entrance. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-94662,addresses_generic,"Hey, Unit B, second floor, back entrance. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-76113,addresses_generic,"Unit B, second floor, back entrance. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-76087,addresses_generic,"FYI, Unit B, second floor, back entrance. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-43130,addresses_generic,Deliver to the northeast loading dock.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-73485,addresses_generic,"Heads up: Ship it to 123 Example Street, Suite 400, Springfield.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-44895,addresses_generic,Heads up: Corner house with the red door. Right now.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-25402,addresses_generic,"Listen, Deliver to the northeast loading dock. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-36928,addresses_generic,"Reminder: The ZIP code is 60614, not 60641. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-36818,addresses_generic,"Okay, The ZIP code is 60614, not 60641. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-85858,addresses_generic,"Note: The ZIP code is 60614, not 60641.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-76113,addresses_generic,"Unit B, second floor, back entrance. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-22740,addresses_generic,"Okay, Corner house with the red door. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-62825,addresses_generic,"FYI, Ship it to 123 Example Street, Suite 400, Springfield. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-75428,addresses_generic,"FYI, The ZIP code is 60614, not 60641.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-57823,addresses_generic,"Note: Mail it care of John Doe, PO Box 1029. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-23104,addresses_generic,"Reminder: Send the parcel to Building 9, Bay 12. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-63892,addresses_generic,"Note: The ZIP code is 60614, not 60641. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-69234,addresses_generic,"Hey, Cross streets are Maple and 8th. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-41331,addresses_generic,"Listen, Deliver to the northeast loading dock. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-10196,addresses_generic,"FYI, Ship it to 123 Example Street, Suite 400, Springfield. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-76407,addresses_generic,"Hey, Deliver to the northeast loading dock. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-12108,addresses_generic,"Ship it to 123 Example Street, Suite 400, Springfield. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-14804,addresses_generic,"Ship it to 123 Example Street, Suite 400, Springfield.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-43130,addresses_generic,Deliver to the northeast loading dock.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-72580,addresses_generic,"Heads up: The ZIP code is 60614, not 60641. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-19229,addresses_generic,"Heads up: Unit B, second floor, back entrance. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-49362,addresses_generic,"Hey, Mail it care of John Doe, PO Box 1029. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-98740,addresses_generic,"Note: Mail it care of John Doe, PO Box 1029.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-28307,addresses_generic,Reminder: Deliver to the northeast loading dock. If possible.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-37580,addresses_generic,Reminder: Use the service elevator—freight only.—got it.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-22499,addresses_generic,"Okay, The ZIP code is 60614, not 60641.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-17323,addresses_generic,"Listen, Cross streets are Maple and 8th. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-13920,addresses_generic,"Reminder: Send the parcel to Building 9, Bay 12.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-50942,addresses_generic,"Okay, Unit B, second floor, back entrance. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-29773,addresses_generic,"Reminder: Apartment 3C, buzzer code 5147.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-93686,addresses_generic,"FYI, The ZIP code is 60614, not 60641.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-29773,addresses_generic,"Reminder: Apartment 3C, buzzer code 5147.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-27500,addresses_generic,"FYI, The ZIP code is 60614, not 60641.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-62825,addresses_generic,"FYI, Ship it to 123 Example Street, Suite 400, Springfield. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-61120,addresses_generic,"Unit B, second floor, back entrance. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-43224,addresses_generic,"Ship it to 123 Example Street, Suite 400, Springfield.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-46240,addresses_generic,"Listen, Send the parcel to Building 9, Bay 12. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-90801,addresses_generic,"Apartment 3C, buzzer code 5147. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-18069,addresses_generic,"Heads up: Unit B, second floor, back entrance. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-69753,addresses_generic,Use the service elevator—freight only. If possible.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-49555,addresses_generic,"Reminder: Ship it to 123 Example Street, Suite 400, Springfield.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-50987,addresses_generic,"Listen, Apartment 3C, buzzer code 5147. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-44895,addresses_generic,Heads up: Corner house with the red door. Right now.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-29539,addresses_generic,"Okay, Apartment 3C, buzzer code 5147.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-19862,addresses_generic,"Okay, Use the service elevator—freight only. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-98390,addresses_generic,Heads up: Deliver to the northeast loading dock. For real.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-75428,addresses_generic,"FYI, The ZIP code is 60614, not 60641.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-17890,addresses_generic,"FYI, Deliver to the northeast loading dock. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-20978,addresses_generic,Cross streets are Maple and 8th. Please.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-44895,addresses_generic,Heads up: Corner house with the red door. Right now.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-44895,addresses_generic,Heads up: Corner house with the red door. Right now.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-70237,addresses_generic,"Listen, Corner house with the red door. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-94775,addresses_generic,"FYI, Cross streets are Maple and 8th.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-81701,addresses_generic,"Hey, Cross streets are Maple and 8th. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-88962,addresses_generic,Reminder: Use the service elevator—freight only.—got it.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-91844,addresses_generic,"FYI, Deliver to the northeast loading dock.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-71051,addresses_generic,Reminder: Corner house with the red door. Thanks.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-47286,addresses_generic,"Okay, The ZIP code is 60614, not 60641. Please.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-46453,addresses_generic,"Okay, Send the parcel to Building 9, Bay 12. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-80091,addresses_generic,"Reminder: Ship it to 123 Example Street, Suite 400, Springfield. Please.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-49362,addresses_generic,"Hey, Mail it care of John Doe, PO Box 1029. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-80091,addresses_generic,"Reminder: Ship it to 123 Example Street, Suite 400, Springfield. Please.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-57101,addresses_generic,"Okay, Apartment 3C, buzzer code 5147.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-10188,addresses_generic,"Unit B, second floor, back entrance.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-19229,addresses_generic,"Heads up: Unit B, second floor, back entrance. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-65664,addresses_generic,"Listen, Deliver to the northeast loading dock. If possible.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-98740,addresses_generic,"Note: Mail it care of John Doe, PO Box 1029.—copy.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-75428,addresses_generic,"FYI, The ZIP code is 60614, not 60641.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-69925,addresses_generic,"Hey, Deliver to the northeast loading dock.—got it.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-30378,addresses_generic,"FYI, Ship it to 123 Example Street, Suite 400, Springfield. Please.",neutral,precise,normal,normal,flat,neutral,neutral,work_chat,neutral,neutral,5,general
VT-63892,addresses_generic,"Note: The ZIP code is 60614, not 60641. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-60891,addresses_generic,"Reminder: The ZIP code is 60614, not 60641. Right now.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-69594,addresses_generic,"Reminder: Send the parcel to Building 9, Bay 12. Thanks.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-65453,addresses_generic,"FYI, Corner house with the red door. For real.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-69753,addresses_generic,Use the service elevator—freight only. If possible.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-29773,addresses_generic,"Reminder: Apartment 3C, buzzer code 5147.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-34003,addresses_generic,Reminder: Use the service elevator—freight only. Right now.,neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
VT-45750,addresses_generic,"Hey, Unit B, second floor, back entrance.",neutral,precise,normal,normal,flat,neutral,neutral,general,neutral,neutral,5,general
